"Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"здесь" 0 0.0401767778224186 0.154918667699458 0.217391304347826
"истории" 0.169563374311149 0.0401767778224186 0.193648334624322 0
"конечно" 0.0423908435777872 0.0401767778224186 0.154918667699458 0.173913043478261
"которые" 0.127172530733362 0.0803535556448373 0.0774593338497289 0.130434782608696
"который" 0.127172530733362 0.120530333467256 0.0774593338497289 0.0869565217391304
"много" 0.169563374311149 0 0.116189000774593 0.130434782608696
"мы" 0.169563374311149 0.0401767778224186 0.154918667699458 0.0434782608695652
"своих" 0.0847816871555744 0.200883889112093 0.0774593338497289 0.0434782608695652
"себе" 0.0847816871555744 0.120530333467256 0.0774593338497289 0.130434782608696
"себя" 0.0847816871555744 0.0803535556448373 0.154918667699458 0.0869565217391304
"триллер" 0 0 0.154918667699458 0.260869565217391
"этой" 0.0423908435777872 0.120530333467256 0.0387296669248644 0.217391304347826
"этот" 0.0847816871555744 0.0401767778224186 0.154918667699458 0.130434782608696
"явно" 0.0423908435777872 0.0803535556448373 0.154918667699458 0.130434782608696
"без" 0.0423908435777872 0.120530333467256 0.0774593338497289 0.130434782608696
"билли" 0.381517592200085 0 0 0
"было" 0.0423908435777872 0.120530333467256 0.154918667699458 0.0434782608695652
"время" 0.169563374311149 0.120530333467256 0 0.0869565217391304
"всего" 0.0423908435777872 0.160707111289675 0.116189000774593 0.0434782608695652
"жизни" 0.169563374311149 0.120530333467256 0.0774593338497289 0
"него" 0.127172530733362 0.0803535556448373 0.116189000774593 0.0434782608695652
"них" 0.127172530733362 0.0803535556448373 0.116189000774593 0.0434782608695652
"оказывается" 0.169563374311149 0.0401767778224186 0.0774593338497289 0.0869565217391304
"слишком" 0.127172530733362 0.160707111289675 0 0.0869565217391304
"хотя" 0.211954217888936 0.0401767778224186 0.0774593338497289 0.0434782608695652
"да" 0.127172530733362 0 0.154918667699458 0.0434782608695652
"лет" 0.0423908435777872 0 0.271107668474051 0
"мира" 0.0423908435777872 0.0803535556448373 0.154918667699458 0.0434782608695652
"над" 0.0423908435777872 0.0803535556448373 0.193648334624322 0
"одной" 0.127172530733362 0.0401767778224186 0.116189000774593 0.0434782608695652
"первый" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.173913043478261
"самом" 0.127172530733362 0.160707111289675 0.0387296669248644 0
"своего" 0 0.0401767778224186 0.0774593338497289 0.217391304347826
"свою" 0.0423908435777872 0.0803535556448373 0 0.217391304347826
"сказать" 0.169563374311149 0.0401767778224186 0.0774593338497289 0.0434782608695652
"того" 0.169563374311149 0 0.0774593338497289 0.0869565217391304
"эмбер" 0.339126748622298 0 0 0
"ведь" 0.0847816871555744 0.0803535556448373 0.116189000774593 0
"возможно" 0.0423908435777872 0.0401767778224186 0.193648334624322 0
"всей" 0.127172530733362 0 0.0774593338497289 0.0869565217391304
"героя" 0.127172530733362 0.0401767778224186 0.0387296669248644 0.0869565217391304
"зрителя" 0 0 0.0774593338497289 0.217391304347826
"именно" 0 0.0803535556448373 0.193648334624322 0
"кажется" 0.0847816871555744 0 0.0387296669248644 0.173913043478261
"картине" 0 0 0.0387296669248644 0.260869565217391
"между" 0.0847816871555744 0.120530333467256 0.0774593338497289 0
"нем" 0.169563374311149 0.0803535556448373 0 0.0434782608695652
"несмотря" 0.0847816871555744 0.0401767778224186 0.0387296669248644 0.130434782608696
"оба" 0.169563374311149 0.0803535556448373 0 0.0434782608695652
"один" 0.169563374311149 0 0 0.130434782608696
"одного" 0 0.0803535556448373 0.116189000774593 0.0869565217391304
"почти" 0.0847816871555744 0.120530333467256 0.0774593338497289 0
"работы" 0.0847816871555744 0 0.154918667699458 0.0434782608695652
"режиссер" 0.0423908435777872 0.120530333467256 0.0387296669248644 0.0869565217391304
"рот" 0 0.281237444756931 0 0
"самого" 0.127172530733362 0.120530333467256 0 0.0434782608695652
"сериала" 0.169563374311149 0.0803535556448373 0.0387296669248644 0
"становится" 0.0423908435777872 0.0401767778224186 0.116189000774593 0.0869565217391304
"уж" 0.0423908435777872 0.0401767778224186 0.116189000774593 0.0869565217391304
"фильме" 0.0423908435777872 0.0803535556448373 0.0774593338497289 0.0869565217391304
"абсолютно" 0.0423908435777872 0 0.116189000774593 0.0869565217391304
"вовсе" 0.0423908435777872 0.120530333467256 0.0774593338497289 0
"всех" 0.127172530733362 0.0401767778224186 0.0774593338497289 0
"второй" 0 0.0803535556448373 0.0774593338497289 0.0869565217391304
"героини" 0 0.0803535556448373 0.0387296669248644 0.130434782608696
"главного" 0.0423908435777872 0.0401767778224186 0.0774593338497289 0.0869565217391304
"два" 0.0847816871555744 0.120530333467256 0 0.0434782608695652
"им" 0.0423908435777872 0.0401767778224186 0.0387296669248644 0.130434782608696
"имя" 0.127172530733362 0.0401767778224186 0 0.0869565217391304
"ин" 0 0 0 0.260869565217391
"историю" 0 0 0.193648334624322 0.0434782608695652
"конце" 0.0847816871555744 0.0803535556448373 0.0774593338497289 0
"которых" 0.0423908435777872 0.120530333467256 0.0387296669248644 0.0434782608695652
"лучше" 0.0423908435777872 0 0.0387296669248644 0.173913043478261
"мир" 0.169563374311149 0 0 0.0869565217391304
"название" 0 0.0401767778224186 0.0387296669248644 0.173913043478261
