"Goverdovski_n" "Goverdovski_p" "Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"которой" 0.0447427293064877 0.0499001996007984 0.254345061466723 0.281237444756931 0.0387296669248644 0.130434782608696
"можно" 0.223713646532438 0.0499001996007984 0.211954217888936 0.160707111289675 0.154918667699458 0
"этого" 0.178970917225951 0.0499001996007984 0.0847816871555744 0.120530333467256 0.154918667699458 0.217391304347826
"история" 0 0.0998003992015968 0 0.281237444756931 0.309837335398916 0.0434782608695652
"когда" 0.0447427293064877 0.149700598802395 0.127172530733362 0.200883889112093 0.154918667699458 0.0869565217391304
"может" 0.178970917225951 0.0998003992015968 0.0423908435777872 0.0401767778224186 0.271107668474051 0.130434782608696
"она" 0.178970917225951 0.149700598802395 0.0423908435777872 0.160707111289675 0.154918667699458 0.0869565217391304
"совсем" 0.0894854586129754 0.0499001996007984 0.211954217888936 0.160707111289675 0.154918667699458 0.0869565217391304
"более" 0.0447427293064877 0.29940119760479 0.0847816871555744 0.120530333467256 0.0774593338497289 0.130434782608696
"вполне" 0 0 0.127172530733362 0.0803535556448373 0.271107668474051 0.217391304347826
"впрочем" 0.0894854586129754 0.199600798403194 0.0423908435777872 0.200883889112093 0.0387296669248644 0.173913043478261
"ему" 0.0894854586129754 0 0.254345061466723 0.120530333467256 0.154918667699458 0.0869565217391304
"между" 0.223713646532438 0.249500998003992 0.0847816871555744 0.120530333467256 0.0774593338497289 0
"просто" 0.134228187919463 0.0499001996007984 0.127172530733362 0.0803535556448373 0.271107668474051 0.0434782608695652
"тем" 0.178970917225951 0.0998003992015968 0 0.120530333467256 0.154918667699458 0.173913043478261
"больше" 0.178970917225951 0 0.0423908435777872 0.160707111289675 0.116189000774593 0.173913043478261
"всё" 0 0 0.0423908435777872 0 0.34856700232378 0.260869565217391
"ли" 0.134228187919463 0.0998003992015968 0 0 0.232378001549187 0.217391304347826
"мы" 0.178970917225951 0.0998003992015968 0.169563374311149 0.0401767778224186 0.154918667699458 0.0434782608695652
"про" 0.134228187919463 0.0499001996007984 0 0 0.232378001549187 0.260869565217391
"раз" 0.134228187919463 0.0499001996007984 0.127172530733362 0.0401767778224186 0.154918667699458 0.173913043478261
"этот" 0.0894854586129754 0.199600798403194 0.0847816871555744 0.0401767778224186 0.154918667699458 0.130434782608696
"без" 0.134228187919463 0.149700598802395 0.0423908435777872 0.120530333467256 0.0774593338497289 0.130434782608696
"двух" 0.536912751677852 0.0998003992015968 0 0 0 0.0434782608695652
"менее" 0.0894854586129754 0.0499001996007984 0 0.0803535556448373 0.193648334624322 0.217391304347826
"после" 0.0447427293064877 0.0998003992015968 0.254345061466723 0.0803535556448373 0.0387296669248644 0.130434782608696
"свою" 0.268456375838926 0.0499001996007984 0.0423908435777872 0.0803535556448373 0 0.217391304347826
"которого" 0.0447427293064877 0.0998003992015968 0.169563374311149 0.120530333467256 0.0774593338497289 0.0869565217391304
"которые" 0.134228187919463 0.0499001996007984 0.127172530733362 0.0803535556448373 0.0774593338497289 0.130434782608696
"кэт" 0 0 0 0.562474889513861 0 0
"несколько" 0.0894854586129754 0.0499001996007984 0 0.200883889112093 0.0774593338497289 0.173913043478261
"одной" 0.0894854586129754 0.199600798403194 0.127172530733362 0.0401767778224186 0.116189000774593 0.0434782608695652
"время" 0.0447427293064877 0.149700598802395 0.169563374311149 0.120530333467256 0 0.0869565217391304
"истории" 0 0.149700598802395 0.169563374311149 0.0401767778224186 0.193648334624322 0
"который" 0.0447427293064877 0.0998003992015968 0.127172530733362 0.120530333467256 0.0774593338497289 0.0869565217391304
"под" 0.268456375838926 0.0499001996007984 0 0 0.154918667699458 0.0869565217391304
"своих" 0 0.149700598802395 0.0847816871555744 0.200883889112093 0.0774593338497289 0.0434782608695652
